movieId,title,genres,year,avgRating
1,Toy Story,"{'Adventure','Animation','Children','Comedy','Fantasy'}",1995,3.9
2,Jumanji,"{'Adventure','Children','Fantasy'}",1995,3.2
3,Grumpier Old Men,"{'Comedy','Romance'}",1995,3.2
4,Waiting to Exhale,"{'Comedy','Drama','Romance'}",1995,2.9
5,Father of the Bride Part II,{'Comedy'},1995,3.1
6,Heat,"{'Action','Crime','Thriller'}",1995,3.8
7,Sabrina,"{'Comedy','Romance'}",1995,3.4
8,Tom and Huck,"{'Adventure','Children'}",1995,3.1
9,Sudden Death,{'Action'},1995,3.0
10,GoldenEye,"{'Action','Adventure','Thriller'}",1995,3.4
11,"American President, The","{'Comedy','Drama','Romance'}",1995,3.7
12,Dracula: Dead and Loving It,"{'Comedy','Horror'}",1995,2.6
13,Balto,"{'Adventure','Animation','Children'}",1995,3.3
14,Nixon,{'Drama'},1995,3.4
15,Cutthroat Island,"{'Action','Adventure','Romance'}",1995,2.7
16,Casino,"{'Crime','Drama'}",1995,3.8
17,Sense and Sensibility,"{'Drama','Romance'}",1995,4.0
18,Four Rooms,{'Comedy'},1995,3.4
19,Ace Ventura: When Nature Calls,{'Comedy'},1995,2.6
20,Money Train,"{'Action','Comedy','Crime','Drama','Thriller'}",1995,2.9
21,Get Shorty,"{'Comedy','Crime','Thriller'}",1995,3.6
22,Copycat,"{'Crime','Drama','Horror','Mystery','Thriller'}",1995,3.3
23,Assassins,"{'Action','Crime','Thriller'}",1995,3.1
24,Powder,"{'Drama','Sci-Fi'}",1995,3.2
25,Leaving Las Vegas,"{'Drama','Romance'}",1995,3.7
26,Othello,{'Drama'},1995,3.6
27,Now and Then,"{'Children','Drama'}",1995,3.4
28,Persuasion,"{'Drama','Romance'}",1995,4.1
29,"City of Lost Children, The Cité des enfants perdus, La","{'Adventure','Drama','Fantasy','Mystery','Sci-Fi'}",1995,4.0
30,Shanghai Triad Yao a yao yao dao waipo qiao,"{'Crime','Drama'}",1995,3.6
31,Dangerous Minds,{'Drama'},1995,3.3
32,Twelve Monkeys a.k.a. 12 Monkeys,"{'Mystery','Sci-Fi','Thriller'}",1995,3.9
33,Wings of Courage,"{'Adventure','Romance','IMAX'}",1995,3.0
34,Babe,"{'Children','Drama'}",1995,3.6
35,Carrington,"{'Drama','Romance'}",1995,3.5
36,Dead Man Walking,"{'Crime','Drama'}",1995,3.9
37,Across the Sea of Time,"{'Documentary','IMAX'}",1995,3.0
38,It Takes Two,"{'Children','Comedy'}",1995,2.9
39,Clueless,"{'Comedy','Romance'}",1995,3.4
40,"Cry, the Beloved Country",{'Drama'},1995,3.6
41,Richard III,"{'Drama','War'}",1995,3.9
42,Dead Presidents,"{'Action','Crime','Drama'}",1995,3.1
43,Restoration,{'Drama'},1995,3.5
44,Mortal Kombat,"{'Action','Adventure','Fantasy'}",1995,2.7
45,To Die For,"{'Comedy','Drama','Thriller'}",1995,3.4
46,How to Make an American Quilt,"{'Drama','Romance'}",1995,3.3
47,Seven a.k.a. Se7en,"{'Mystery','Thriller'}",1995,4.1
48,Pocahontas,"{'Animation','Children','Drama','Musical','Romance'}",1995,2.9
49,When Night Is Falling,"{'Drama','Romance'}",1995,3.6
50,"Usual Suspects, The","{'Crime','Mystery','Thriller'}",1995,4.3
51,Guardian Angel,"{'Action','Drama','Thriller'}",1994,2.6
52,Mighty Aphrodite,"{'Comedy','Drama','Romance'}",1995,3.5
53,Lamerica,"{'Adventure','Drama'}",1994,3.7
54,"Big Green, The","{'Children','Comedy'}",1995,2.9
55,Georgia,{'Drama'},1995,3.2
56,Kids of the Round Table,"{'Adventure','Children','Fantasy'}",1995,1.9
57,Home for the Holidays,{'Drama'},1995,3.3
58,"Postman, The Postino, Il","{'Comedy','Drama','Romance'}",1994,4.0
59,"Confessional, The Confessionnal, Le","{'Drama','Mystery'}",1995,3.6
60,"Indian in the Cupboard, The","{'Adventure','Children','Fantasy'}",1995,3.1
61,Eye for an Eye,"{'Drama','Thriller'}",1996,3.3
62,Mr. Hollands Opus,{'Drama'},1995,3.7
63,Dont Be a Menace to South Central While Drinking Your Juice in the Hood,"{'Comedy','Crime'}",1996,3.1
64,Two if by Sea,"{'Comedy','Romance'}",1996,2.8
65,Bio-Dome,{'Comedy'},1996,2.4
66,Lawnmower Man 2: Beyond Cyberspace,"{'Action','Sci-Fi','Thriller'}",1996,2.1
67,Two Bits,{'Drama'},1995,3.4
68,French Twist Gazon maudit,"{'Comedy','Romance'}",1995,3.4
69,Friday,{'Comedy'},1995,3.6
70,From Dusk Till Dawn,"{'Action','Comedy','Horror','Thriller'}",1996,3.3
71,Fair Game,{'Action'},1995,2.4
72,Kicking and Screaming,"{'Comedy','Drama'}",1995,3.5
73,"Misérables, Les","{'Drama','War'}",1995,3.8
74,Bed of Roses,"{'Drama','Romance'}",1996,3.3
75,Big Bully,"{'Comedy','Drama'}",1996,2.5
76,Screamers,"{'Action','Sci-Fi','Thriller'}",1995,3.0
77,Nico Icon,{'Documentary'},1995,3.4
78,"Crossing Guard, The","{'Action','Crime','Drama','Thriller'}",1995,3.2
79,"Juror, The","{'Drama','Thriller'}",1996,3.1
80,"White Balloon, The Badkonake sefid","{'Children','Drama'}",1995,3.7
81,Things to Do in Denver When Youre Dead,"{'Crime','Drama','Romance'}",1995,3.3
82,Antonias Line Antonia,"{'Comedy','Drama'}",1995,4.0
83,Once Upon a Time... When We Were Colored,"{'Drama','Romance'}",1995,3.7
84,Last Summer in the Hamptons,"{'Comedy','Drama'}",1995,3.4
85,Angels and Insects,"{'Drama','Romance'}",1995,3.5
86,White Squall,"{'Action','Adventure','Drama'}",1996,3.5
87,Dunston Checks In,"{'Children','Comedy'}",1996,2.4
88,Black Sheep,{'Comedy'},1996,3.1
89,Nick of Time,"{'Action','Thriller'}",1995,3.1
90,"Journey of August King, The",{'Drama'},1995,3.4

92,Mary Reilly,"{'Drama','Horror','Thriller'}",1996,2.9
93,Vampire in Brooklyn,"{'Comedy','Horror','Romance'}",1995,2.5
